experiment_id,cohort,method_id,seed,evaluation_mode,horizon_hours,feature_group,rmse,mae,observed_cells,lineage,component_definition
KDD122,heart_failure,transformer_world_model,3411,one_step,4,overall,0.7105840390460475,0.36197838317753006,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,transformer_world_model,3414,one_step,4,overall,0.7083808092994104,0.36206063088027934,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,dreamer_v3_categorical_rssm,3408,one_step,4,overall,0.7674888490068622,0.3937783718427381,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,dreamer_v3_categorical_rssm,3411,one_step,4,overall,0.7684493505565921,0.3939626877833742,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,dreamer_v3_categorical_rssm,3414,one_step,4,overall,0.7635781536503782,0.39227857316593895,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,heart_failure,gaussian_transition_ensemble,3408;3411;3414,one_step,4,overall,0.7092763041061533,0.361591845379616,475384,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,4,overall,1.0520161590592816,0.7050534717489904,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,8,overall,1.0976635129322785,0.7421574187487652,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,12,overall,1.1412978140656174,0.7833628594032916,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,16,overall,1.1611277664027548,0.8119023523026632,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,20,overall,1.187887041107997,0.8221015281271763,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,24,overall,1.1856404316407965,0.8353432856400368,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,28,overall,1.2232635661987956,0.8548148298930032,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,32,overall,1.236056455658158,0.867218509207796,23922,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,36,overall,1.248793890879267,0.8885379583775181,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,40,overall,1.2689941914085636,0.9129272401373412,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,persistence_locf,3408,logged_action_recursive,44,overall,1.3366822634129794,0.9590770645896772,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,4,overall,0.8346441679271943,0.5820208123566751,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,8,overall,0.8331721032728467,0.5859549416840244,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,12,overall,0.867818981334652,0.6217089270929789,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,16,overall,0.8758835527700656,0.6430264454732203,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,20,overall,0.9127990678910982,0.663923444982827,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,24,overall,0.9293271242369492,0.6870492605626951,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,28,overall,0.9846512489853916,0.7134939887668489,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,32,overall,1.003939490851241,0.732085637936757,23922,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,36,overall,1.0388172737312664,0.7580321973375015,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,40,overall,1.0571974341276942,0.7820678556611997,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3408,logged_action_recursive,44,overall,1.0952679625133013,0.8061815364691309,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,4,overall,0.8365322528716486,0.5826699007130604,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,8,overall,0.8330945561993529,0.5866349258460605,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,12,overall,0.8629568673281429,0.6194101840872084,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,16,overall,0.8675720063985742,0.6364959295457593,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,20,overall,0.8959377972543685,0.6517945506700266,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,24,overall,0.8993765539002752,0.6656551202571642,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,28,overall,0.9472000243134095,0.6869726759606299,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,32,overall,0.9578108513717828,0.7024137246537213,23922,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,36,overall,0.9763882486724222,0.7179704225599971,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,40,overall,0.985798275043536,0.7349243782104182,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3411,logged_action_recursive,44,overall,1.016067015906566,0.7604751708099096,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,4,overall,0.836792986060936,0.5825166303721737,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,8,overall,0.8349484040968286,0.5896654922398527,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,12,overall,0.8680612881675811,0.6262431211813474,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,16,overall,0.874352767870894,0.6445241881357909,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,20,overall,0.9027224995751364,0.6598482975524366,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,24,overall,0.9066314832351364,0.6726742087215019,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,28,overall,0.9545208229263156,0.6918164495202449,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,32,overall,0.9648088028409716,0.7042553042568437,23922,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,36,overall,0.9793458842426884,0.7191351307518024,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,40,overall,0.9882324829163652,0.734333852820416,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,hgb_residual,3414,logged_action_recursive,44,overall,1.0064260208748963,0.7528024320522881,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,4,overall,0.8161677074314545,0.5671364933935222,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,8,overall,0.8376875823667193,0.5858315721065274,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,12,overall,0.8853713982678895,0.631041740347039,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,16,overall,0.9057625464566292,0.6657516393619223,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,20,overall,0.959842218038741,0.6979158741366107,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,24,overall,0.9825768234114955,0.7318949486681173,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,28,overall,1.054256126715647,0.769453049631926,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,32,overall,1.1016665885133288,0.8088072936068335,23922,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,36,overall,1.1532815689637217,0.8511239455346199,19265,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,40,overall,1.199798421452969,0.8932883748020163,13218,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3408,logged_action_recursive,44,overall,1.213293764346354,0.9042654495808236,3685,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,4,overall,0.817505393618509,0.5678833853773877,63541,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,8,overall,0.8369473980588205,0.585935517962273,52803,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,12,overall,0.881917144455403,0.6274784103662054,43677,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,16,overall,0.8922980623879434,0.6531207851595477,38288,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,20,overall,0.9282383314243972,0.6707314580023434,34117,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,24,overall,0.9305698774329598,0.6861425333379892,30514,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,28,overall,0.9757920908270964,0.7063490680222497,27479,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,respiratory,grud_world_model,3411,logged_action_recursive,32,overall,0.989302822464178,0.7198200735994884,23922,KDD097/KDD098R unchanged,P next-state dynamics
